FromNodeId,ToNodeId,Weight,Level,,
"1224827041054412801	","1225490452612337665	",1,1,,
"1224827041054412801	","1225417765131034624	",1,1,,
"1224827041054412801	","1225230878974062593	",1,1,,
"1224827041054412801	","1225171209782026240	",1,1,,
"1225132575972384769	","1225132679194124288	",1,2,,
"1224827041054412801	","1225132575972384769	",3,1,,
"1224827041054412801	","1225119078072946688	",1,1,,
"1224827041054412801	","1225093403387539458	",1,1,,
"1224827041054412801	","1225079772834942977	",1,1,,"6:48 AM ¡¤ Feb 5, 2020"
"1224827041054412801	","1225079730707353600	",1,1,,"6:48 AM ¡¤ Feb 5, 2020"
"1224827041054412801	","1225079469939077120	",1,1,,"6:48 AM ¡¤ Feb 5, 2020"
"1224827041054412801	","1225078523112706054	",1,1,,
"1224827041054412801	","1225078507463675905	",1,1,,
"1224827041054412801	","1225008164472598529	",1,1,,
"1224827041054412801	","1224837757643763712	",1,1,,
"1224827041054412801	","1224834352619630592	",1,1,,
"1224827041054412801	","1224832743646859265	",1,1,,
"1224827041054412801	","1224832663426482176	",1,1,,
"1224827041054412801	","1224832426997944320	",3,1,,
"1224827041054412801	","1224832279094054917	",1,1,,
"1224827041054412801	","1224829941465997313	",1,1,,
"1224827041054412801	","1224829389122129920	",1,1,,
"1224827041054412801	","1224829014411546625	",1,1,,
"1224827041054412801	","1224828917535707137	",1,1,,
"1224827041054412801	","1224828473912500224	",3,1,,
"1224827041054412801	","1224828165312434178	",1,1,,
"1224827041054412801	","1224827916233728001	",1,1,,
"1224827041054412801	","1224827897866678272	",1,1,,
"1224827041054412801	","1224827779847467008	",1,1,,
"1224827041054412801	","1224827652760096768	",1,1,,
"1224827041054412801	","1224827247866941440	",2,1,,
"1224827041054412801	","1224827166111739907	",1,1,,
