FromNodeId,ToNodeId,Weight,Level
1234954200800518145	,1235199624064970752	,3,1
1234954200800518145	,1234954847776133122	,2,1
1234954200800518145	,1234958137368539136	,2,1
1234954200800518145	,1234957543719309312	,2,1
1234954200800518145	,1234959760580964352	,2,1
1234954200800518145	,1234961459156791296	,2,1
1234954200800518145	,1234957781674930178	,2,1
1234957781674930178	,1234966778691891200	,2,2
1234966778691891200	,1234967616848060416	,2,3
1234967616848060416	,1234968440068280320	,2,4
1234968440068280320	,1234977896218812416	,2,5
1234977896218812416	,1234984156309803008	,2,6
1234977896218812416	,1234981427810160640	,2,6
1234981427810160640	,1234985660097814529	,2,7
1234977896218812416	,1235021911341449216	,1,6
1234954200800518145	,1234957446621384705	,2,1
1234957446621384705	,1234963877085011969	,1,2
1234954200800518145	,1234956060726824960	,2,1
1234954200800518145	,1234974251402137600	,2,1
1234954200800518145	,1234968521794375683	,2,1
1234954200800518145	,1234967995446890496	,2,1
1234954200800518145	,1234967125510500356	,2,1
1234954200800518145	,1234991577010802688	,2,1
1234954200800518145	,1235063116100059137	,2,1
1234954200800518145	,1235153882055151617	,2,1
1234954200800518145	,1235218249098448903	,2,1
1234954200800518145	,1234954224989089792	,1,1
1234954200800518145	,1234954257155153920	,1,1
1234954200800518145	,1234954289925312512	,1,1
1234954200800518145	,1234954292416483328	,1,1
1234954200800518145	,1234954308334039042	,1,1
1234954200800518145	,1234954334137438213	,1,1
1234954200800518145	,1234954341313699840	,1,1
1234954200800518145	,1234954376709582850	,1,1
1234954200800518145	,1234954390953431041	,1,1
1234954200800518145	,1234954389049217024	,1,1
1234954200800518145	,1234954419688468480	,1,1
1234954200800518145	,1234954524835622917	,1,1
1234954200800518145	,1234954534364962817	,1,1
1234954200800518145	,1234954575859331073	,1,1
1234954200800518145	,1234954614874595329	,1,1
1234954200800518145	,1234954683661332481	,1,1
1234954200800518145	,1234954825567277056	,1,1
1234954200800518145	,1234954865929003010	,1,1
1234954200800518145	,1234955028621930496	,1,1
1234954200800518145	,1234955241491177472	,1,1
1234954200800518145	,1234955332843134977	,1,1
1234954200800518145	,1234955353869213699	,1,1
1234954200800518145	,1234955366963740674	,1,1
1234954200800518145	,1234955438921338880	,1,1
1234954200800518145	,1234955469288038401	,1,1
1234954200800518145	,1234955642592546816	,1,1
1234954200800518145	,1234955696057262080	,1,1
1234954200800518145	,1234955812306608129	,1,1
1234954200800518145	,1234954892860485632	,1,1
1234954200800518145	,1234955992841932800	,1,1
1234954200800518145	,1234957858816442369	,1,1
1234954200800518145	,1234958062252773376	,1,1
1234954200800518145	,1234959950553612288	,1,1
1234954200800518145	,1234959858182447104	,1,1
1234954200800518145	,1234960989595918336	,1,1
1234954200800518145	,1234957839400964097	,1,1
1234954200800518145	,1234959202726137857	,1,1
1234954200800518145	,1234959442946543617	,1,1
1234954200800518145	,1234961354127265793	,1,1
1234954200800518145	,1234961607102517249	,1,1
1234954200800518145	,1234961482565267461	,1,1
1234954200800518145	,1234961713243529217	,1,1
1234954200800518145	,1234960335729233920	,1,1
1234954200800518145	,1234960793625669638	,1,1
1234954200800518145	,1234961695006699523	,1,1
1234954200800518145	,1234960644291559424	,1,1
1234954200800518145	,1234960586158551041	,1,1
1234954200800518145	,1234959961916092418	,1,1
1234954200800518145	,1234959808408825857	,1,1
1234954200800518145	,1234959098325630982	,1,1
1234954200800518145	,1234958981430464519	,1,1
1234954200800518145	,1234958229421121537	,1,1
1234954200800518145	,1234958178141470720	,1,1
1234954200800518145	,1234958087523590146	,1,1
1234954200800518145	,1234957672551768064	,1,1
1234954200800518145	,1234957336013418501	,1,1
1234954200800518145	,1234957201346789378	,1,1
1234954200800518145	,1234957070824329224	,1,1
1234954200800518145	,1234957071843495941	,1,1
1234954200800518145	,1234956902490046464	,1,1
1234954200800518145	,1234956453699559432	,1,1
1234954200800518145	,1234956369452773384	,1,1
1234954200800518145	,1234956031303802881	,1,1
1234954200800518145	,1234955969358180353	,1,1
1234954200800518145	,1234955382931329024	,1,1
1234954200800518145	,1234966065181908992	,1,1
1234954200800518145	,1234962009004875784	,1,1
1234954200800518145	,1234963938476986369	,1,1
1234954200800518145	,1234963834189864960	,1,1
1234954200800518145	,1234966572646555648	,1,1
1234954200800518145	,1234964266903638023	,1,1
1234954200800518145	,1234963440600567808	,1,1
1234954200800518145	,1234965871648497666	,1,1
1234954200800518145	,1234976421379895296	,1,1
1234954200800518145	,1234975312783372290	,1,1
1234954200800518145	,1234974972226859008	,1,1
1234954200800518145	,1234972748994138113	,1,1
1234954200800518145	,1234972411105169408	,1,1
1234954200800518145	,1234971716415180801	,1,1
1234954200800518145	,1234971295630028802	,1,1
1234954200800518145	,1234971299287465985	,1,1
1234954200800518145	,1234970297930924032	,1,1
1234954200800518145	,1234969406326788096	,1,1
1234954200800518145	,1234968931552694273	,1,1
1234954200800518145	,1234968660495626240	,1,1
1234954200800518145	,1234968623917273088	,1,1
1234954200800518145	,1234968615041921024	,1,1
1234954200800518145	,1234965452821909504	,1,1
1234954200800518145	,1234964938453422080	,1,1
1234954200800518145	,1234964803564732424	,1,1
1234954200800518145	,1234964625176719361	,1,1
1234954200800518145	,1234964003866189824	,1,1
1234954200800518145	,1234963169199587329	,1,1
1234954200800518145	,1234962634597777408	,1,1
1234954200800518145	,1234979156296794112	,1,1
1234954200800518145	,1234985211416346624	,1,1
1234954200800518145	,1234991618438025217	,1,1
1234954200800518145	,1234991856523431936	,1,1
1234954200800518145	,1234989469914157056	,1,1
1234954200800518145	,1234989258391224320	,1,1
1234954200800518145	,1234988493887000577	,1,1
