FromNodeId,ToNodeId,Weight,Level
1228424740563537923	,1228425008579567617	,3,1
1228424740563537923	,1228425206101880832	,3,1
1228425206101880832	,1228425791224107014	,2,2
1228424740563537923	,1228425336737718274	,3,1
1228425336737718274	,1228425724241076224	,2,2
1228425724241076224	,1228427105333137408	,2,3
1228425724241076224	,1228449871994269701	,2,3
1228425724241076224	,1228456415552929792	,2,3
1228425336737718274	,1228426989389918210	,2,2
1228426989389918210	,1228446123033059333	,1,3
1228425336737718274	,1228457785026846721	,2,2
1228425336737718274	,1228425470473101314	,1,2
1228425336737718274	,1228426139439443969	,1,2
1228425336737718274	,1228426816697905152	,1,2
1228425336737718274	,1228595259627753472	,1,2
1228425336737718274	,1228832409682153474	,1,2
1228424740563537923	,1228428212444680194	,3,1
1228428212444680194	,1228428827862241280	,3,2
1228428212444680194	,1228494364248162304	,3,2
1228428212444680194	,1228428530247065600	,1,2
1228428212444680194	,1228428626342772736	,1,2
1228428212444680194	,1228428660996112385	,1,2
1228428212444680194	,1228429139381587968	,1,2
1228428212444680194	,1228429812789694464	,1,2
1228428212444680194	,1228429951587606528	,1,2
1228428212444680194	,1228430315665805313	,1,2
1228428212444680194	,1228430328940900364	,1,2
1228428212444680194	,1228430454442717184	,1,2
1228428212444680194	,1228431737811697665	,1,2
1228428212444680194	,1228431839963971584	,1,2
1228428212444680194	,1228433098863366144	,1,2
1228428212444680194	,1228433191112855553	,1,2
1228428212444680194	,1228434072864575488	,1,2
1228428212444680194	,1228435054709243904	,1,2
1228428212444680194	,1228435260804751360	,1,2
1228428212444680194	,1228435895423926273	,1,2
1228428212444680194	,1228436163318300672	,1,2
1228428212444680194	,1228436456265240576	,1,2
1228428212444680194	,1228437985114247168	,1,2
1228428212444680194	,1228428435795652610	,1,2
1228428212444680194	,1228441099678535680	,1,2
1228428212444680194	,1228441468236288001	,1,2
1228428212444680194	,1228447321777557504	,1,2
1228428212444680194	,1228447998922723328	,1,2
1228428212444680194	,1228452722728243200	,1,2
1228428212444680194	,1228455325394595840	,1,2
1228428212444680194	,1228456097016500224	,1,2
1228428212444680194	,1228464233035128832	,1,2
1228428212444680194	,1228476593409945600	,1,2
1228428212444680194	,1228480961525862402	,1,2
1228428212444680194	,1228485830085267456	,1,2
1228428212444680194	,1228493375055097857	,1,2
1228428212444680194	,1228493685127409665	,1,2
1228428212444680194	,1228538140366782465	,1,2
1228428212444680194	,1228672117006188544	,1,2
1228428212444680194	,1228745888685707264	,1,2
1228428212444680194	,1228772116796854275	,1,2
1228424740563537923	,1228428689429409795	,3,1
1228424740563537923	,1228430748744593409	,3,1
1228430748744593409	,1228431847748538368	,2,2
1228430748744593409	,1228446555822272512	,2,2
1228430748744593409	,1228431367962271744	,1,2
1228430748744593409	,1228432625146134530	,1,2
1228430748744593409	,1228433529849118721	,1,2
1228430748744593409	,1228474148483207168	,1,2
1228430748744593409	,1228480775911178243	,1,2
1228430748744593409	,1228487329003606017	,1,2
1228430748744593409	,1228549609917730816	,1,2
1228430748744593409	,1228551185382154240	,1,2
1228430748744593409	,1228555473248497664	,1,2
1228430748744593409	,1228680316631633921	,1,2
1228424740563537923	,1228434204616200193	,3,1
1228424740563537923	,1228437753592872960	,3,1
1228424740563537923	,1228440881386131456	,3,1
1228440881386131456	,1228444593785577473	,1,2
1228440881386131456	,1228456673146232832	,1,2
1228440881386131456	,1228471793721188354	,1,2
1228440881386131456	,1228657854715961349	,1,2
1228424740563537923	,1228445865070727168	,3,1
1228445865070727168	,1228446049410461702	,1,2
1228445865070727168	,1228671738235498496	,1,2
1228424740563537923	,1228469192241770496	,3,1
1228424740563537923	,1228497046925037568	,3,1
1228497046925037568	,1228497995026427904	,1,2
1228424740563537923	,1228517586721218561	,3,1
1228424740563537923	,1228548355510407168	,3,1
1228424740563537923	,1228650222277939200	,3,1
1228424740563537923	,1228655886316367874	,3,1
1228655886316367874	,1228656461380648961	,1,2
1228655886316367874	,1228656820681498626	,1,2
1228655886316367874	,1228656968698478593	,1,2
1228655886316367874	,1228657107043602432	,1,2
1228655886316367874	,1228673786242666496	,1,2
1228655886316367874	,1228684087394623488	,1,2
1228655886316367874	,1228701615797850112	,1,2
1228655886316367874	,1228708411493113859	,1,2
1228655886316367874	,1228784407500034048	,1,2
1228655886316367874	,1229037089292836864	,1,2
1228655886316367874	,1229122638770917376	,1,2
1228655886316367874	,1229286615815606273	,1,2
1228655886316367874	,1229385572789166081	,1,2
1228424740563537923	,1228660644012052480	,3,1
1228424740563537923	,1228679073385201665	,3,1
1228424740563537923	,1228686435101892608	,3,1
1228424740563537923	,1228710961953038337	,3,1
1228424740563537923	,1228712343976185856	,3,1
1228424740563537923	,1228744895487193089	,3,1
1228424740563537923	,1228864217396191238	,3,1
1228424740563537923	,1229285682356641793	,3,1
1228424740563537923	,1229325870667567104	,3,1
1228424740563537923	,1229857631495479303	,3,1
1228424740563537923	,1228424741977022464	,2,1
1228424741977022464	,1228425125579644928	,3,2
1228425125579644928	,1228425372431245312	,1,3
1228425125579644928	,1228426912852271104	,1,3
1228425125579644928	,1228493390762758149	,1,3
1228424741977022464	,1228425708449472515	,3,2
1228424741977022464	,1228425968169213952	,3,2
1228424741977022464	,1228426063870455808	,3,2
1228424741977022464	,1228426960767987712	,3,2
1228424741977022464	,1228426992548106240	,3,2
1228424741977022464	,1228431586246393857	,3,2
1228424741977022464	,1228432455373225984	,3,2
1228432455373225984	,1228432931510611968	,1,3
1228424741977022464	,1228433348038709250	,3,2
1228424741977022464	,1228457143667392515	,3,2
1228457143667392515	,1228459255881072640	,1,3
1228424741977022464	,1228460269124366336	,3,2
1228424741977022464	,1228558936443322368	,3,2
1228424741977022464	,1228765957629153280	,3,2
1228424741977022464	,1228769345532309504	,3,2
1228769345532309504	,1228813991054577664	,1,3
1228424741977022464	,1229748666845605888	,3,2
1229748666845605888	,1234055257153425408	,2,3
1229748666845605888	,1229748908466720769	,1,3
1229748666845605888	,1229749092584128514	,1,3
1229748666845605888	,1229749454019784705	,1,3
1229748666845605888	,1229749727413067786	,1,3
1229748666845605888	,1229750125184110592	,1,3
1229748666845605888	,1229751556590845953	,1,3
1229748666845605888	,1229752449252020224	,1,3
1229748666845605888	,1229753820906958848	,1,3
1229748666845605888	,1229755400246837248	,1,3
1229748666845605888	,1229762715624689664	,1,3
1229748666845605888	,1229756196904521728	,1,3
1229748666845605888	,1229776078954254337	,1,3
1229748666845605888	,1229784322137133056	,1,3
1229748666845605888	,1229803482246332422	,1,3
1229748666845605888	,1229842023122788352	,1,3
1229748666845605888	,1229895266876002304	,1,3
1229748666845605888	,1231114891739770880	,1,3
1228424741977022464	,1229858179590189061	,3,2
1228424741977022464	,1245701862742876163	,3,2
1228424741977022464	,1228425811843338246	,2,2
1228424741977022464	,1228425986695364613	,2,2
1228424741977022464	,1228426056182329344	,2,2
1228426056182329344	,1228427032817594368	,2,3
1228424741977022464	,1228426541132058627	,2,2
1228424741977022464	,1228426944749813762	,2,2
1228424741977022464	,1228427458837467137	,2,2
1228427458837467137	,1228588396563402752	,3,3
1228427458837467137	,1228453237331824640	,2,3
1228453237331824640	,1228845558569328640	,2,4
1228424741977022464	,1228427533240193025	,2,2
1228424741977022464	,1228431320444833792	,2,2
1228431320444833792	,1228504445492879361	,2,3
1228504445492879361	,1228505569578934277	,1,4
1228431320444833792	,1228505550968758272	,1,3
1228424741977022464	,1228433933945040897	,2,2
1228424741977022464	,1228435590649143296	,2,2
1228424741977022464	,1228435630889279488	,2,2
1228424741977022464	,1228435706231607297	,2,2
1228424741977022464	,1228438312047665152	,2,2
1228424741977022464	,1228442410910396416	,2,2
1228424741977022464	,1228442504959266816	,2,2
1228442504959266816	,1228442624165662720	,2,3
1228424741977022464	,1228456018956279808	,2,2
1228424741977022464	,1228472087284789250	,2,2
1228424741977022464	,1228472276603088903	,2,2
1228424741977022464	,1228493774487248897	,2,2
1228424741977022464	,1228509949602549760	,2,2
1228424741977022464	,1228516020597514240	,2,2
1228424741977022464	,1228552408487227392	,2,2
1228424741977022464	,1228572122395631616	,2,2
1228424741977022464	,1228577366903050240	,2,2
1228424741977022464	,1228701293436440576	,2,2
1228424741977022464	,1228766347909369857	,2,2
1228424741977022464	,1228767518375972875	,2,2
1228424741977022464	,1228774172714627073	,2,2
1228424741977022464	,1228777278550761472	,2,2
1228424741977022464	,1228809366465400832	,2,2
1228424741977022464	,1228811080639635460	,2,2
1228424741977022464	,1228935717184622598	,2,2
1228424741977022464	,1229109335197749248	,2,2
1228424741977022464	,1229383463951904770	,2,2
1229383463951904770	,1229483991578877953	,1,3
1228424741977022464	,1229444653595975692	,2,2
1228424741977022464	,1228424769521012736	,1,2
1228424741977022464	,1228424878841155584	,1,2
1228424741977022464	,1228424881982754816	,1,2
1228424741977022464	,1228424913553444864	,1,2
1228424741977022464	,1228424986026639362	,1,2
1228424741977022464	,1228425142360997888	,1,2
1228424741977022464	,1228425238901403648	,1,2
1228424741977022464	,1228425308971376641	,1,2
1228424741977022464	,1228425496779788296	,1,2
1228424741977022464	,1228425529511968769	,1,2
1228424741977022464	,1228425561208479744	,1,2
1228424741977022464	,1228425590098653184	,1,2
1228424741977022464	,1228425776137166850	,1,2
1228424741977022464	,1228425825738903552	,1,2
1228424741977022464	,1228425834492579842	,1,2
1228424741977022464	,1228425929699057664	,1,2
1228424741977022464	,1228426236894076928	,1,2
1228424741977022464	,1228426350995918848	,1,2
1228424741977022464	,1228426493363179521	,1,2
1228424741977022464	,1228426584492658688	,1,2
1228424741977022464	,1228426649563095040	,1,2
1228424741977022464	,1228427008201437184	,1,2
1228424741977022464	,1228427100023029760	,1,2
1228424741977022464	,1228427277454757888	,1,2
1228424741977022464	,1228427479242747906	,1,2
1228424741977022464	,1228428436978511873	,1,2
1228424741977022464	,1228428624740704259	,1,2
1228424741977022464	,1228429161347395584	,1,2
1228424741977022464	,1228429198504660994	,1,2
1228424741977022464	,1228429393275555843	,1,2
1228424741977022464	,1228429759333330944	,1,2
1228424741977022464	,1228430391134052352	,1,2
1228424741977022464	,1228433155058630656	,1,2
1228424741977022464	,1228433302312247296	,1,2
1228424741977022464	,1228433468499091462	,1,2
1228424741977022464	,1228434185666187265	,1,2
1228424741977022464	,1228434189822898176	,1,2
1228424741977022464	,1228434865785147392	,1,2
1228424741977022464	,1228435949497016327	,1,2
1228424741977022464	,1228436959040663555	,1,2
1228424741977022464	,1228430221436542976	,1,2
1228424741977022464	,1228439371470295040	,1,2
1228424741977022464	,1228442039395721218	,1,2
1228424741977022464	,1228443291806466050	,1,2
1228424741977022464	,1228447343885742080	,1,2
