FromNodeId,ToNodeId,Weight,Level,,,,
"1234856329090666496	","1235338529938567169	",1,1,,,,
"1234856329090666496	","1235069173090398208	",1,1,,,,
"1234960728517414913	","1234961284812201989	",2,2,,,,
"1234856329090666496	","1234960728517414913	",2,1,,,,
"1234856329090666496	","1234885681136140289	",1,1,,,,"11:01 PM ¡¤ Mar 3, 2020"
"1234856329090666496	","1234868831266447370	",1,1,,,,
"1234856329090666496	","1234866096295026689	",1,1,,,,
"1234856329090666496	","1234865848445263872	",1,1,,,,
"1234856329090666496	","1234864979532230658	",1,1,,,,
"1234856329090666496	","1234857156442238976	",1,1,,,,
"1234856329090666496	","1234856777893732354	",1,1,,,,
